	Strategy	Query	Class	Value
0	Random	q0	comp.windows.x	4
1	Random	q0	talk.politics.guns	2
2	Random	q0	alt.atheism	1
3	Random	q0	rec.sport.hockey	0
4	Random	q0	comp.graphics	34
5	Random	q0	soc.religion.christian	3
6	Random	q0	rec.sport.baseball	7
7	Random	q0	talk.politics.misc	1
8	Random	q0	comp.sys.mac.hardware	4
9	Random	q0	rec.autos	5
10	Random	q0	comp.sys.ibm.pc.hardware	3
11	Random	q0	sci.electronics	2
12	Random	q0	sci.space	3
13	Random	q0	sci.crypt	3
14	Random	q0	talk.religion.misc	0
15	Random	q0	rec.motorcycles	14
16	Random	q0	talk.politics.mideast	3
17	Random	q0	sci.med	2
18	Random	q0	comp.os.ms-windows.misc	3
19	Random	q0	misc.forsale	6
20	Random	q1	comp.windows.x	1
21	Random	q1	talk.politics.guns	3
22	Random	q1	alt.atheism	3
23	Random	q1	rec.sport.hockey	5
24	Random	q1	comp.graphics	28
25	Random	q1	soc.religion.christian	4
26	Random	q1	rec.sport.baseball	15
27	Random	q1	talk.politics.misc	3
28	Random	q1	comp.sys.mac.hardware	0
29	Random	q1	rec.autos	1
30	Random	q1	comp.sys.ibm.pc.hardware	3
31	Random	q1	sci.electronics	1
32	Random	q1	sci.space	0
33	Random	q1	sci.crypt	2
34	Random	q1	talk.religion.misc	0
35	Random	q1	rec.motorcycles	20
36	Random	q1	talk.politics.mideast	1
37	Random	q1	sci.med	2
38	Random	q1	comp.os.ms-windows.misc	1
39	Random	q1	misc.forsale	7
40	Random	q2	comp.windows.x	0
41	Random	q2	talk.politics.guns	0
42	Random	q2	alt.atheism	1
43	Random	q2	rec.sport.hockey	2
44	Random	q2	comp.graphics	44
45	Random	q2	soc.religion.christian	3
46	Random	q2	rec.sport.baseball	7
47	Random	q2	talk.politics.misc	1
48	Random	q2	comp.sys.mac.hardware	2
49	Random	q2	rec.autos	0
50	Random	q2	comp.sys.ibm.pc.hardware	2
51	Random	q2	sci.electronics	2
52	Random	q2	sci.space	3
53	Random	q2	sci.crypt	3
54	Random	q2	talk.religion.misc	3
55	Random	q2	rec.motorcycles	11
56	Random	q2	talk.politics.mideast	2
57	Random	q2	sci.med	1
58	Random	q2	comp.os.ms-windows.misc	1
59	Random	q2	misc.forsale	12
60	Random	q3	comp.windows.x	2
61	Random	q3	talk.politics.guns	1
62	Random	q3	alt.atheism	0
63	Random	q3	rec.sport.hockey	3
64	Random	q3	comp.graphics	31
65	Random	q3	soc.religion.christian	1
66	Random	q3	rec.sport.baseball	9
67	Random	q3	talk.politics.misc	5
68	Random	q3	comp.sys.mac.hardware	1
69	Random	q3	rec.autos	3
70	Random	q3	comp.sys.ibm.pc.hardware	2
71	Random	q3	sci.electronics	5
72	Random	q3	sci.space	3
73	Random	q3	sci.crypt	2
74	Random	q3	talk.religion.misc	2
75	Random	q3	rec.motorcycles	16
76	Random	q3	talk.politics.mideast	2
77	Random	q3	sci.med	2
78	Random	q3	comp.os.ms-windows.misc	1
79	Random	q3	misc.forsale	9
80	Random	q4	comp.windows.x	0
81	Random	q4	talk.politics.guns	4
82	Random	q4	alt.atheism	5
83	Random	q4	rec.sport.hockey	0
84	Random	q4	comp.graphics	30
85	Random	q4	soc.religion.christian	0
86	Random	q4	rec.sport.baseball	10
87	Random	q4	talk.politics.misc	2
88	Random	q4	comp.sys.mac.hardware	4
89	Random	q4	rec.autos	2
90	Random	q4	comp.sys.ibm.pc.hardware	2
91	Random	q4	sci.electronics	3
92	Random	q4	sci.space	3
93	Random	q4	sci.crypt	0
94	Random	q4	talk.religion.misc	1
95	Random	q4	rec.motorcycles	12
96	Random	q4	talk.politics.mideast	4
97	Random	q4	sci.med	1
98	Random	q4	comp.os.ms-windows.misc	3
99	Random	q4	misc.forsale	14
100	Random	q5	comp.windows.x	4
101	Random	q5	talk.politics.guns	1
102	Random	q5	alt.atheism	4
103	Random	q5	rec.sport.hockey	1
104	Random	q5	comp.graphics	38
105	Random	q5	soc.religion.christian	1
106	Random	q5	rec.sport.baseball	11
107	Random	q5	talk.politics.misc	0
108	Random	q5	comp.sys.mac.hardware	3
109	Random	q5	rec.autos	4
110	Random	q5	comp.sys.ibm.pc.hardware	0
111	Random	q5	sci.electronics	1
112	Random	q5	sci.space	2
113	Random	q5	sci.crypt	2
114	Random	q5	talk.religion.misc	4
115	Random	q5	rec.motorcycles	8
116	Random	q5	talk.politics.mideast	1
117	Random	q5	sci.med	3
118	Random	q5	comp.os.ms-windows.misc	1
119	Random	q5	misc.forsale	11
120	Random	q6	comp.windows.x	2
121	Random	q6	talk.politics.guns	2
122	Random	q6	alt.atheism	2
123	Random	q6	rec.sport.hockey	2
124	Random	q6	comp.graphics	38
125	Random	q6	soc.religion.christian	2
126	Random	q6	rec.sport.baseball	8
127	Random	q6	talk.politics.misc	3
128	Random	q6	comp.sys.mac.hardware	1
129	Random	q6	rec.autos	1
130	Random	q6	comp.sys.ibm.pc.hardware	2
131	Random	q6	sci.electronics	0
132	Random	q6	sci.space	1
133	Random	q6	sci.crypt	2
134	Random	q6	talk.religion.misc	2
135	Random	q6	rec.motorcycles	15
136	Random	q6	talk.politics.mideast	1
137	Random	q6	sci.med	3
138	Random	q6	comp.os.ms-windows.misc	2
139	Random	q6	misc.forsale	11
140	Random	q7	comp.windows.x	2
141	Random	q7	talk.politics.guns	2
142	Random	q7	alt.atheism	0
143	Random	q7	rec.sport.hockey	3
144	Random	q7	comp.graphics	31
145	Random	q7	soc.religion.christian	2
146	Random	q7	rec.sport.baseball	13
147	Random	q7	talk.politics.misc	1
148	Random	q7	comp.sys.mac.hardware	1
149	Random	q7	rec.autos	0
150	Random	q7	comp.sys.ibm.pc.hardware	2
151	Random	q7	sci.electronics	2
152	Random	q7	sci.space	0
153	Random	q7	sci.crypt	2
154	Random	q7	talk.religion.misc	3
155	Random	q7	rec.motorcycles	21
156	Random	q7	talk.politics.mideast	1
157	Random	q7	sci.med	2
158	Random	q7	comp.os.ms-windows.misc	4
159	Random	q7	misc.forsale	8
160	Uncertainty	q0	comp.windows.x	4
161	Uncertainty	q0	talk.politics.guns	2
162	Uncertainty	q0	alt.atheism	1
163	Uncertainty	q0	rec.sport.hockey	0
164	Uncertainty	q0	comp.graphics	34
165	Uncertainty	q0	soc.religion.christian	3
166	Uncertainty	q0	rec.sport.baseball	7
167	Uncertainty	q0	talk.politics.misc	1
168	Uncertainty	q0	comp.sys.mac.hardware	4
169	Uncertainty	q0	rec.autos	5
170	Uncertainty	q0	comp.sys.ibm.pc.hardware	3
171	Uncertainty	q0	sci.electronics	2
172	Uncertainty	q0	sci.space	3
173	Uncertainty	q0	sci.crypt	3
174	Uncertainty	q0	talk.religion.misc	0
175	Uncertainty	q0	rec.motorcycles	14
176	Uncertainty	q0	talk.politics.mideast	3
177	Uncertainty	q0	sci.med	2
178	Uncertainty	q0	comp.os.ms-windows.misc	3
