Unnamed: 0	sentence	target	label	date
0	"I was wondering if anyone out there could enlighten me on this car I saw
the other day. It was a 2-door sports car, looked to be from the late 60s/
early 70s. It was called a Bricklin. The doors were really small. In addition,
the front bumper was separate from the rest of the body. This is 
all I know. If anyone can tellme a model name, engine specs, years
of production, where this car is made, history, or whatever info you
have on this funky looking car, please e-mail."	7	rec.autos	07/11/20 10:48 AM
29	"
It depends on your priorities.  A lot of people put higher priorities
on gas mileage and cost than on safety, buying ""unsafe"" econoboxes
instead of Volvos.  I personally take a middle ground -- the only
thing I really look for is a three-point seatbelt and 5+mph bumpers.
I figure that 30mph collisions into brick walls aren't common enough
for me to spend that much extra money for protection, but there are
lots of low-speed collisions that do worry me."	7	rec.autos	07/11/20 10:48 AM
64	": Ford and his automobile.  I need information on whether Ford is
: partially responsible for all of the car accidents and the depletion of
: the ozone layer.  Also, any other additional information will be greatly
: appreciated.  Thanks. 
: 
SSSSSoooooooooooo!!!!! Its all HIS fault!! Thank God Louis Chevrolet is 
innocent! and that guy Diesel, HE otto feel guilty!

"	7	rec.autos	07/11/20 10:48 AM
73	"
You can avoid these problems entirely by installing an oil drain valve in
place of the bolt.  I have one on both of my cars.  There have been no
leaks in 210,000 miles (combined miles on both cars)."	7	rec.autos	07/11/20 10:48 AM
156	"

In addition to restricted mileage, many classic insurance carriers also require
that the vehicle be garaged when not in use.

$0.02

Ericy
"	7	rec.autos	07/11/20 10:48 AM
201	"

Several years ago GM was having trouble with the rings sticking on the
5.7 diesel.  They traced a cause to the use of 10W-40 oil.  They would
not honor warranty work if 10W-40 was used (if my memory serves me).
5-30, 10-30 or 20 50 was OK'd though."	7	rec.autos	07/11/20 10:48 AM
207	"
I had the same problem in my '90 MX-6. Luckily I had it fixed
under warranty. I think they replaced a tail light gasket.
Check with a dealer, it's a known problem.
"	7	rec.autos	07/11/20 10:48 AM
216	"As an additional data point, I have run Castrol 20W50 exclusively
in the following cars: 75 Rabbit, 78 Scirocco, 76 Rabbit, 78 Bus,
70 Beetle, 76 Bus, 86 Jetta GLI.  I've never had an oil-related
problem.

Disclaimer:  It gets mighty hot down here."	7	rec.autos	07/11/20 10:48 AM
274	"

I agree.  Six hour long stretches behind the wheel really make me
thirsty, especially for something with caffeine.  I consider it a
failing of my car that it has no cup holder nor anywhere to put a cup
holder."	7	rec.autos	07/11/20 10:48 AM
405	"From: thwang@mentor.cc.purdue.edu (Tommy Hwang)
Subject: Advise needed in buying Automobile

   >I am in search of a dependable automobile to purchase.  Below
   >are its requirements:
   >	5. V6 or above

       Most of the cars you mentioned are below (smaller than) V6 engine.

   Tony
--"	7	rec.autos	07/11/20 10:48 AM
