	Strategy	Query	Class	Value
0	Random	q0	comp.sys.ibm.pc.hardware	3
1	Random	q0	sci.crypt	3
2	Random	q0	talk.politics.guns	2
3	Random	q0	rec.sport.baseball	7
4	Random	q0	talk.religion.misc	0
5	Random	q0	rec.sport.hockey	0
6	Random	q0	talk.politics.mideast	3
7	Random	q0	soc.religion.christian	3
8	Random	q0	talk.politics.misc	1
9	Random	q0	rec.motorcycles	14
10	Random	q0	alt.atheism	1
11	Random	q0	rec.autos	5
12	Random	q0	sci.electronics	2
13	Random	q0	sci.med	2
14	Random	q0	comp.sys.mac.hardware	4
15	Random	q0	comp.graphics	34
16	Random	q0	comp.os.ms-windows.misc	3
17	Random	q0	comp.windows.x	4
18	Random	q0	sci.space	3
19	Random	q0	misc.forsale	6
20	Random	q1	comp.sys.ibm.pc.hardware	3
21	Random	q1	sci.crypt	2
22	Random	q1	talk.politics.guns	2
23	Random	q1	rec.sport.baseball	17
24	Random	q1	talk.religion.misc	2
25	Random	q1	rec.sport.hockey	5
26	Random	q1	talk.politics.mideast	2
27	Random	q1	soc.religion.christian	5
28	Random	q1	talk.politics.misc	3
29	Random	q1	rec.motorcycles	17
30	Random	q1	alt.atheism	2
31	Random	q1	rec.autos	1
32	Random	q1	sci.electronics	0
33	Random	q1	sci.med	2
34	Random	q1	comp.sys.mac.hardware	0
35	Random	q1	comp.graphics	28
36	Random	q1	comp.os.ms-windows.misc	1
37	Random	q1	comp.windows.x	2
38	Random	q1	sci.space	0
39	Random	q1	misc.forsale	6
40	Random	q2	comp.sys.ibm.pc.hardware	1
41	Random	q2	sci.crypt	1
42	Random	q2	talk.politics.guns	1
43	Random	q2	rec.sport.baseball	6
44	Random	q2	talk.religion.misc	5
45	Random	q2	rec.sport.hockey	1
46	Random	q2	talk.politics.mideast	2
47	Random	q2	soc.religion.christian	1
48	Random	q2	talk.politics.misc	3
49	Random	q2	rec.motorcycles	13
50	Random	q2	alt.atheism	1
51	Random	q2	rec.autos	0
52	Random	q2	sci.electronics	2
53	Random	q2	sci.med	1
54	Random	q2	comp.sys.mac.hardware	5
55	Random	q2	comp.graphics	40
56	Random	q2	comp.os.ms-windows.misc	2
57	Random	q2	comp.windows.x	1
58	Random	q2	sci.space	3
59	Random	q2	misc.forsale	11
60	Random	q3	comp.sys.ibm.pc.hardware	3
61	Random	q3	sci.crypt	1
62	Random	q3	talk.politics.guns	1
63	Random	q3	rec.sport.baseball	11
64	Random	q3	talk.religion.misc	0
65	Random	q3	rec.sport.hockey	2
66	Random	q3	talk.politics.mideast	1
67	Random	q3	soc.religion.christian	1
68	Random	q3	talk.politics.misc	2
69	Random	q3	rec.motorcycles	13
70	Random	q3	alt.atheism	1
71	Random	q3	rec.autos	4
72	Random	q3	sci.electronics	4
73	Random	q3	sci.med	3
74	Random	q3	comp.sys.mac.hardware	1
75	Random	q3	comp.graphics	32
76	Random	q3	comp.os.ms-windows.misc	1
77	Random	q3	comp.windows.x	2
78	Random	q3	sci.space	4
79	Random	q3	misc.forsale	13
80	Random	q4	comp.sys.ibm.pc.hardware	2
81	Random	q4	sci.crypt	3
82	Random	q4	talk.politics.guns	3
83	Random	q4	rec.sport.baseball	10
84	Random	q4	talk.religion.misc	0
85	Random	q4	rec.sport.hockey	1
86	Random	q4	talk.politics.mideast	0
87	Random	q4	soc.religion.christian	2
88	Random	q4	talk.politics.misc	2
89	Random	q4	rec.motorcycles	13
90	Random	q4	alt.atheism	3
91	Random	q4	rec.autos	1
92	Random	q4	sci.electronics	3
93	Random	q4	sci.med	1
94	Random	q4	comp.sys.mac.hardware	2
95	Random	q4	comp.graphics	35
96	Random	q4	comp.os.ms-windows.misc	1
97	Random	q4	comp.windows.x	3
98	Random	q4	sci.space	3
99	Random	q4	misc.forsale	12
100	Random	q5	comp.sys.ibm.pc.hardware	1
101	Random	q5	sci.crypt	4
102	Random	q5	talk.politics.guns	2
103	Random	q5	rec.sport.baseball	4
104	Random	q5	talk.religion.misc	5
105	Random	q5	rec.sport.hockey	1
106	Random	q5	talk.politics.mideast	3
107	Random	q5	soc.religion.christian	2
108	Random	q5	talk.politics.misc	2
109	Random	q5	rec.motorcycles	13
110	Random	q5	alt.atheism	1
111	Random	q5	rec.autos	3
112	Random	q5	sci.electronics	3
113	Random	q5	sci.med	2
114	Random	q5	comp.sys.mac.hardware	1
115	Random	q5	comp.graphics	39
116	Random	q5	comp.os.ms-windows.misc	3
117	Random	q5	comp.windows.x	1
118	Random	q5	sci.space	0
119	Random	q5	misc.forsale	10
120	Random	q6	comp.sys.ibm.pc.hardware	1
121	Random	q6	sci.crypt	0
122	Random	q6	talk.politics.guns	3
123	Random	q6	rec.sport.baseball	15
124	Random	q6	talk.religion.misc	3
125	Random	q6	rec.sport.hockey	3
126	Random	q6	talk.politics.mideast	2
127	Random	q6	soc.religion.christian	0
128	Random	q6	talk.politics.misc	3
129	Random	q6	rec.motorcycles	20
130	Random	q6	alt.atheism	2
131	Random	q6	rec.autos	1
132	Random	q6	sci.electronics	0
133	Random	q6	sci.med	3
134	Random	q6	comp.sys.mac.hardware	1
135	Random	q6	comp.graphics	28
136	Random	q6	comp.os.ms-windows.misc	2
137	Random	q6	comp.windows.x	2
138	Random	q6	sci.space	1
139	Random	q6	misc.forsale	10
140	Random	q7	comp.sys.ibm.pc.hardware	2
141	Random	q7	sci.crypt	2
142	Random	q7	talk.politics.guns	1
143	Random	q7	rec.sport.baseball	10
144	Random	q7	talk.religion.misc	0
145	Random	q7	rec.sport.hockey	3
146	Random	q7	talk.politics.mideast	2
147	Random	q7	soc.religion.christian	2
148	Random	q7	talk.politics.misc	0
149	Random	q7	rec.motorcycles	14
150	Random	q7	alt.atheism	5
151	Random	q7	rec.autos	1
152	Random	q7	sci.electronics	2
153	Random	q7	sci.med	2
154	Random	q7	comp.sys.mac.hardware	2
155	Random	q7	comp.graphics	38
156	Random	q7	comp.os.ms-windows.misc	3
157	Random	q7	comp.windows.x	0
158	Random	q7	sci.space	1
159	Random	q7	misc.forsale	10
160	Uncertainty	q0	comp.sys.ibm.pc.hardware	3
161	Uncertainty	q0	sci.crypt	3
162	Uncertainty	q0	talk.politics.guns	2
163	Uncertainty	q0	rec.sport.baseball	7
164	Uncertainty	q0	talk.religion.misc	0
165	Uncertainty	q0	rec.sport.hockey	0
166	Uncertainty	q0	talk.politics.mideast	3
167	Uncertainty	q0	soc.religion.christian	3
168	Uncertainty	q0	talk.politics.misc	1
169	Uncertainty	q0	rec.motorcycles	14
170	Uncertainty	q0	alt.atheism	1
171	Uncertainty	q0	rec.autos	5
172	Uncertainty	q0	sci.electronics	2
173	Uncertainty	q0	sci.med	2
174	Uncertainty	q0	comp.sys.mac.hardware	4
175	Uncertainty	q0	comp.graphics	34
176	Uncertainty	q0	comp.os.ms-windows.misc	3
177	Uncertainty	q0	comp.windows.x	4
178	Uncertainty	q0	sci.space	3
179	Uncertainty	q0	misc.forsale	6
180	Uncertainty	q1	comp.sys.ibm.pc.hardware	0
181	Uncertainty	q1	sci.crypt	2
182	Uncertainty	q1	talk.politics.guns	1
183	Uncertainty	q1	rec.sport.baseball	11
184	Uncertainty	q1	talk.religion.misc	2
185	Uncertainty	q1	rec.sport.hockey	1
186	Uncertainty	q1	talk.politics.mideast	3
187	Uncertainty	q1	soc.religion.christian	2
188	Uncertainty	q1	talk.politics.misc	3
189	Uncertainty	q1	rec.motorcycles	18
190	Uncertainty	q1	alt.atheism	2
191	Uncertainty	q1	rec.autos	3
192	Uncertainty	q1	sci.electronics	1
193	Uncertainty	q1	sci.med	3
194	Uncertainty	q1	comp.sys.mac.hardware	1
195	Uncertainty	q1	comp.graphics	27
196	Uncertainty	q1	comp.os.ms-windows.misc	5
197	Uncertainty	q1	comp.windows.x	3
198	Uncertainty	q1	sci.space	2
199	Uncertainty	q1	misc.forsale	10
200	Uncertainty	q2	comp.sys.ibm.pc.hardware	1
201	Uncertainty	q2	sci.crypt	1
202	Uncertainty	q2	talk.politics.guns	5
203	Uncertainty	q2	rec.sport.baseball	10
204	Uncertainty	q2	talk.religion.misc	4
205	Uncertainty	q2	rec.sport.hockey	1
206	Uncertainty	q2	talk.politics.mideast	7
207	Uncertainty	q2	soc.religion.christian	4
208	Uncertainty	q2	talk.politics.misc	5
209	Uncertainty	q2	rec.motorcycles	12
210	Uncertainty	q2	alt.atheism	7
211	Uncertainty	q2	rec.autos	0
212	Uncertainty	q2	sci.electronics	2
213	Uncertainty	q2	sci.med	8
214	Uncertainty	q2	comp.sys.mac.hardware	2
215	Uncertainty	q2	comp.graphics	13
216	Uncertainty	q2	comp.os.ms-windows.misc	1
217	Uncertainty	q2	comp.windows.x	1
218	Uncertainty	q2	sci.space	2
219	Uncertainty	q2	misc.forsale	14
220	Uncertainty	q3	comp.sys.ibm.pc.hardware	3
221	Uncertainty	q3	sci.crypt	3
222	Uncertainty	q3	talk.politics.guns	3
223	Uncertainty	q3	rec.sport.baseball	18
224	Uncertainty	q3	talk.religion.misc	3
225	Uncertainty	q3	rec.sport.hockey	4
226	Uncertainty	q3	talk.politics.mideast	1
227	Uncertainty	q3	soc.religion.christian	5
228	Uncertainty	q3	talk.politics.misc	5
229	Uncertainty	q3	rec.motorcycles	14
230	Uncertainty	q3	alt.atheism	1
231	Uncertainty	q3	rec.autos	2
232	Uncertainty	q3	sci.electronics	1
233	Uncertainty	q3	sci.med	0
234	Uncertainty	q3	comp.sys.mac.hardware	2
235	Uncertainty	q3	comp.graphics	27
236	Uncertainty	q3	comp.os.ms-windows.misc	0
237	Uncertainty	q3	comp.windows.x	0
238	Uncertainty	q3	sci.space	4
239	Uncertainty	q3	misc.forsale	4
240	Uncertainty	q4	comp.sys.ibm.pc.hardware	3
241	Uncertainty	q4	sci.crypt	5
242	Uncertainty	q4	talk.politics.guns	3
243	Uncertainty	q4	rec.sport.baseball	8
244	Uncertainty	q4	talk.religion.misc	5
245	Uncertainty	q4	rec.sport.hockey	1
246	Uncertainty	q4	talk.politics.mideast	0
247	Uncertainty	q4	soc.religion.christian	1
248	Uncertainty	q4	talk.politics.misc	2
249	Uncertainty	q4	rec.motorcycles	8
250	Uncertainty	q4	alt.atheism	3
251	Uncertainty	q4	rec.autos	1
252	Uncertainty	q4	sci.electronics	5
253	Uncertainty	q4	sci.med	2
254	Uncertainty	q4	comp.sys.mac.hardware	1
255	Uncertainty	q4	comp.graphics	30
256	Uncertainty	q4	comp.os.ms-windows.misc	2
257	Uncertainty	q4	comp.windows.x	2
258	Uncertainty	q4	sci.space	1
259	Uncertainty	q4	misc.forsale	17
260	Uncertainty	q5	comp.sys.ibm.pc.hardware	3
261	Uncertainty	q5	sci.crypt	2
262	Uncertainty	q5	talk.politics.guns	1
263	Uncertainty	q5	rec.sport.baseball	6
264	Uncertainty	q5	talk.religion.misc	1
265	Uncertainty	q5	rec.sport.hockey	3
266	Uncertainty	q5	talk.politics.mideast	1
267	Uncertainty	q5	soc.religion.christian	0
268	Uncertainty	q5	talk.politics.misc	0
269	Uncertainty	q5	rec.motorcycles	18
270	Uncertainty	q5	alt.atheism	1
271	Uncertainty	q5	rec.autos	1
272	Uncertainty	q5	sci.electronics	4
273	Uncertainty	q5	sci.med	0
274	Uncertainty	q5	comp.sys.mac.hardware	1
275	Uncertainty	q5	comp.graphics	40
276	Uncertainty	q5	comp.os.ms-windows.misc	1
277	Uncertainty	q5	comp.windows.x	2
278	Uncertainty	q5	sci.space	2
279	Uncertainty	q5	misc.forsale	13
280	Uncertainty	q6	comp.sys.ibm.pc.hardware	2
281	Uncertainty	q6	sci.crypt	0
282	Uncertainty	q6	talk.politics.guns	0
283	Uncertainty	q6	rec.sport.baseball	4
284	Uncertainty	q6	talk.religion.misc	0
285	Uncertainty	q6	rec.sport.hockey	3
286	Uncertainty	q6	talk.politics.mideast	0
287	Uncertainty	q6	soc.religion.christian	1
288	Uncertainty	q6	talk.politics.misc	0
289	Uncertainty	q6	rec.motorcycles	25
290	Uncertainty	q6	alt.atheism	1
291	Uncertainty	q6	rec.autos	4
292	Uncertainty	q6	sci.electronics	0
293	Uncertainty	q6	sci.med	0
294	Uncertainty	q6	comp.sys.mac.hardware	3
295	Uncertainty	q6	comp.graphics	41
296	Uncertainty	q6	comp.os.ms-windows.misc	3
297	Uncertainty	q6	comp.windows.x	1
298	Uncertainty	q6	sci.space	1
299	Uncertainty	q6	misc.forsale	11
300	Uncertainty	q7	comp.sys.ibm.pc.hardware	1
301	Uncertainty	q7	sci.crypt	0
302	Uncertainty	q7	talk.politics.guns	0
303	Uncertainty	q7	rec.sport.baseball	16
304	Uncertainty	q7	talk.religion.misc	0
305	Uncertainty	q7	rec.sport.hockey	3
306	Uncertainty	q7	talk.politics.mideast	0
307	Uncertainty	q7	soc.religion.christian	0
308	Uncertainty	q7	talk.politics.misc	0
309	Uncertainty	q7	rec.motorcycles	8
310	Uncertainty	q7	alt.atheism	0
311	Uncertainty	q7	rec.autos	0
312	Uncertainty	q7	sci.electronics	1
