sentence	label
hide new secretions from the parental units 	0
contains no wit , only labored gags 	0
that loves its characters and communicates something rather beautiful about human nature 	1
remains utterly satisfied to remain the same throughout 	0
on the worst revenge-of-the-nerds clichés the filmmakers could dredge up 	0
that 's far too tragic to merit such superficial treatment 	0
demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop . 	1
of saucy 	1
a depressed fifteen-year-old 's suicidal poetry 	0
are more deeply thought through than in most ` right-thinking ' films 	1
goes to absurd lengths 	0
for those moviegoers who complain that ` they do n't make movies like they used to anymore 	0
the part where nothing 's happening , 	0
saw how bad this movie was 	0
lend some dignity to a dumb story 	0
the greatest musicians 	1
cold movie 	0
with his usual intelligence and subtlety 	1
redundant concept 	0
swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and yearnings , it succeeds . 	1
equals the original and in some ways even betters it 	1
if anything , see it for karen black , who camps up a storm as a fringe feminist conspiracy theorist named dirty dick . 	1
a smile on your face 	1
comes from the brave , uninhibited performances 	1
excruciatingly unfunny and pitifully unromantic 	0
enriched by an imaginatively mixed cast of antic spirits 	1
which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening 	0
in world cinema 	1
very good viewing alternative 	1
the plot is nothing but boilerplate clichés from start to finish , 	0
the action is stilted 	0
on all cylinders 	1
will find little of interest in this film , which is often preachy and poorly acted 	0
by far the worst movie of the year 	0
sit through , 	0
more than another `` best man '' clone by weaving a theme throughout this funny film 	1
it 's about issues most adults have to face in marriage and i think that 's what i liked about it -- the real issues tucked between the silly and crude storyline 	1
heroes 	1
oblivious to the existence of this film 	0
sharply 	1
the entire point of a shaggy dog story , of course , is that it goes nowhere , and this is classic nowheresville in every sense . 	0
sometimes dry 	0
as they come , already having been recycled more times than i 'd care to count 	0
covers this territory with wit and originality , suggesting that with his fourth feature 	1
a $ 40 million version of a game 	0
gorgeous and deceptively minimalist 	1
cross swords with the best of them and 	1
as a fringe feminist conspiracy theorist 	0
proves once again he has n't lost his touch , bringing off a superb performance in an admittedly middling film . 	1
disappointments 	0
the horrors 	0
a muddle splashed with bloody beauty as vivid as any scorsese has ever given us . 	1
many pointless 	0
a beautifully 	1
contrived , well-worn situations 	0
to be as subtle and touching as the son 's room 	1
starts with a legend 	1
rich veins of funny stuff in this movie 	1
is pretty damned funny . 	1
the storylines are woven together skilfully , the magnificent swooping aerial shots are breathtaking , and the overall experience is awesome . 	1
seem fresh 	1
pays earnest homage to turntablists 	1
film to affirm love 's power to help people endure almost unimaginable horror 	1
are an absolute joy 	1
generates 	1
, like life , is n't much fun without the highs and lows 	1
based on a true and historically significant story 	1
well-rounded tribute 	1
so much like a young robert deniro 	1
khouri manages , with terrific flair , to keep the extremes of screwball farce and blood-curdling family intensity on one continuum . 	1
fashioning an engrossing entertainment out 	1
spiffy animated feature 	1
alternating between facetious comic parody and pulp melodrama , this smart-aleck movie ... tosses around some intriguing questions about the difference between human and android life 	1
, generous and subversive artworks 	1
it does n't follow the stale , standard , connect-the-dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world 	1
funny yet 	1
it 's robert duvall ! 	1
rich and sudden wisdom 	1
acted and directed , it 's clear that washington most certainly has a new career ahead of him 	1
in memory 	1
respectable new one 	1
hate to tear your eyes away from the images long enough to read the subtitles 	1
, this gender-bending comedy is generally quite funny . 	1
the direction has a fluid , no-nonsense authority , and the performances by harris , phifer and cam ` ron seal the deal . 	1
would have liked it more if it had just gone that one step further 	1
hawaiian shirt 	1
takes a classic story , casts attractive and talented actors and uses a magnificent landscape to create a feature film that is wickedly fun to watch . 	1
provide its keenest pleasures 	1
unpretentious , charming , quirky , original 	1
very well-written and very well-acted . 	1
bring tissues . 	1
brings the proper conviction to his role as ( jason bourne ) . 	1
as a young woman of great charm , generosity and diplomacy 	1
there 's something poignant about an artist of 90-plus years taking the effort to share his impressions of life and loss and time and art with us . 	1
cinematic bon bons 	1
a lively and engaging examination of how similar obsessions can dominate a family . 	1
so many of the challenges it poses for itself that one can forgive the film its flaws 	1
, it serves as a workable primer for the region 's recent history , and would make a terrific 10th-grade learning tool . 	1
wide-awake all the way through 	1
is effective if you stick with it 	1
that underscore the importance of family tradition and familial community 	1
delivers what it promises : a look at the `` wild ride '' that ensues when brash young men set out to conquer the online world with laptops , cell phones and sketchy business plans 	1
's a very tasteful rock and roll movie . 	1
realistic portrayal 	1
well-thought stunts or 	1
reveals how important our special talents can be when put in service of of others . 	1
a welcome relief 	1
the promise of digital filmmaking 	1
extraordinary faith 	1
have i seen a film so willing to champion the fallibility of the human heart 	1
, sometimes beautiful adaptation 	1
caruso sometimes descends into sub-tarantino cuteness ... but for the most part he makes sure the salton sea works the way a good noir should , keeping it tight and nasty . 	1
most audacious , outrageous , 	1
at its best moments 	1
that final , beautiful scene 	1
some movies suck you in despite their flaws , 	1
eats , meddles , argues , laughs , kibbitzes and fights 	1
, compelling 	1
infectiously 	1
the picture runs a mere 84 minutes , but it 's no glance . 	1
's remarkable procession of sweeping pictures that have reinvigorated the romance genre . 	1
a passable date film 	1
imax in short 	1
's pleasant enough -- and oozing with attractive men 	1
pokes , provokes , takes expressionistic license 	1
with color and depth , and rather a good time 	1
silly , outrageous , ingenious 	1
the year 's best and most unpredictable comedy 	1
elvira fans could hardly ask for more . 	1
a good one 	1
speak for it while it forces you to ponder anew what a movie can be 	1
enables shafer to navigate spaces both large ... and small ... with considerable aplomb 	1
takes chances that are bold by studio standards 	1
manages to infuse the rocky path to sibling reconciliation with flashes of warmth and gentle humor 	1
working from a surprisingly sensitive script co-written by gianni romoli ... ozpetek avoids most of the pitfalls you 'd expect in such a potentially sudsy set-up . 	1
enjoy the ride 	1
if it is n't entirely persuasive , it does give exposure to some talented performers 	1
poignant and leavened 	1
breathless anticipation 	1
significantly better 	1
bewilderingly brilliant and entertaining 	1
it 's smooth and professional 	1
a technically superb film 	1
the positive change in tone here seems to have recharged him . 	1
pays earnest homage to turntablists and beat jugglers , old schoolers and current innovators 	1
to a kinetic life so teeming that even cranky adults may rediscover the quivering kid inside 	1
's at once laughable and compulsively watchable , 	1
merit its 103-minute length 	1
the value and respect for the term epic cinema 	1
showing honest emotions 	1
this comic gem is as delightful as it is derivative . 	1
to spare wildlife 	1
traditionally structured 	1
does point the way for adventurous indian filmmakers toward a crossover into nonethnic markets . 	1
are worth the price of admission ... if `` gory mayhem '' is your idea of a good time 	1
a stylish exercise 	1
takes hold and grips hard 	1
the picture 's fascinating byways 	1
evanescent , seamless and sumptuous stream 	1
slick and manufactured to claim street credibility . 	1
take care is nicely performed by a quintet of actresses , 	1
valuable messages 	1
in no small part thanks to lau 	1
elevated by it -- the kind of movie 	1
hugh grant , who has a good line in charm 	1
arrive early and stay late 	1
is a pan-american movie , with moments of genuine insight into the urban heart . 	1
shot in artful , watery tones of blue , green and brown 	1
an unorthodox little film noir organized crime story that includes one of the strangest 	1
considerable aplomb 	1
acted by diane lane and richard gere . 	1
an admittedly middling film 	1
the rock 's fighting skills are more in line with steven seagal 	1
rich and full 	1
warm water under a red bridge is a celebration of feminine energy , a tribute to the power of women to heal . 	1
that uses a sensational , real-life 19th-century crime as a metaphor for 	1
, home movie will leave you wanting more , not to mention leaving you with some laughs and a smile on your face . 	1
, the film retains ambiguities that make it well worth watching . 	1
added depth and resonance 	1
the sensational 	1
huge-screen format to make an old-fashioned nature film that educates viewers with words and pictures while entertaining them 	1
makes an unusual but pleasantly haunting debut behind the camera . 	1
a fine , rousing , g-rated family film , aimed mainly at little kids but with plenty of entertainment value to keep grown-ups from squirming in their seats . 	1
the cast is spot on and 	1
can only love the players it brings to the fore for the gifted but no-nonsense human beings they are and for the still-inestimable contribution they have made to our shared history 	1
demands and receives excellent performances 	1
xxx is a blast of adrenalin , 	1
pure escapism 	1
create a film that 's not merely about kicking undead *** 	1
about love and culture 	1
, 84 minutes is short 	1
a masterpiece 	1
a lot to do with the casting of juliette binoche as sand , who brings to the role her pale , dark beauty and characteristic warmth 	1
good acting 	1
like most of jaglom 's films , some of it is honestly affecting 	1
's still quite worth seeing 	1
intelligent and moving . 	1
men 	1
accomplish what few sequels can 	1
exhilarating , funny and fun . 	1
bound to appeal to women looking for a howlingly trashy time 	1
has the right stuff for silly summer entertainment and has enough laughs to sustain interest to the end . 	1
endearing , caring 	1
seagal , who looks more like danny aiello these days 	1
not everything in this ambitious comic escapade works , but coppola , along with his sister , sofia , is a real filmmaker 	1
see this 	1
has always been part of for the most part wilde 's droll whimsy helps `` being earnest '' overcome its weaknesses and parker 's creative interference ... 	1
you find yourself rooting for gai 's character to avoid the fate that has befallen every other carmen before her 	1
a deceptively casual ode 	1
help chicago make the transition from stage to screen with considerable appeal intact 	1
you have ellen pompeo sitting next to you for the ride 	1
true fans 	1
quite rich and exciting 	1
luminous interviews and amazingly evocative film from three decades ago 	1
, you ca n't help but get caught up in the thrill of the company 's astonishing growth . 	1
a showdown 	1
greatly 	1
free 	1
intriguing species 	1
scherfig , who has had a successful career in tv 	1
watching it leaves you giddy 	1
beautifully acted and directed , it 's clear that washington most certainly has a new career ahead of him if he so chooses . 	1
outrageously creative action 	1
the most purely enjoyable and satisfying evenings 	1
for a story 	1
in addition to hoffman 's powerful acting clinic 	1
right stuff 	1
the wonderful cinematography and naturalistic acting 	1
high-concept films 	1
invigorating , surreal , and resonant 	1
the chateau , a sense of light-heartedness , that makes it attractive throughout 	1
have a passion for the material 	1
